Heading,Description
Model Selection & Cost Tradeoffs,"Model selection is a recurring product decision with direct P&L impact. The core tradeoff matrix: capability (benchmark performance, accuracy) vs. latency (p50/p99 response time) vs. cost ($/1M tokens, call frequency) vs. compliance (data residency, vendor risk). Key patterns: model routing (GPT-4o mini / Haiku for simple classification and summarization; GPT-5 / Claude Opus for complex reasoning — reduces inference cost 60–80%); open-weight models (Llama, Mistral) for air-gapped or cost-sensitive high-volume inference; on-device models (Phi-3, Gemma 2B) for offline or privacy-sensitive contexts. Critical PM insight from o3/o4-mini: 30–60s extended reasoning latency suits async, high-stakes tasks (legal review, code generation) but is incompatible with latency-sensitive UX (live chat, autocomplete). From DeepSeek: model capability is increasingly commoditized — the PM's edge is in system design, not model selection. Build a cost model before launch: cost per session × expected DAU × margin target defines your model budget."
Build vs. Buy vs. Fine-Tune,"The build-buy-fine-tune decision determines team size, timeline, cost, and technical risk for the entire AI initiative. Decision framework: (1) Prompt engineering first — modern frontier models (GPT-5, Claude 4.5) handle most tasks well with a well-crafted system prompt and few-shot examples. Test this before anything else. (2) RAG when the model lacks current or proprietary knowledge — decouples knowledge updates from model updates, far cheaper than fine-tuning. (3) Fine-tuning (LoRA/QLoRA) when you need consistent style, tone, or output format that can't be achieved via prompting — not for injecting knowledge. (4) Training from scratch only for genuinely novel architectures or when no foundation model covers your domain. PM red flags: teams proposing fine-tuning before validating prompt engineering; RAG pipelines built before confirming the knowledge gap is the actual quality bottleneck; 'we need our own model' without a clear data moat or regulatory requirement. From transfer learning: fine-tuning existing models is almost always preferable to training from scratch. Test-time compute (o3-class models) now competes with fine-tuning as a quality lever at lower operational cost."
Token & Context Economics,"Token economics is a first-class product constraint, not an afterthought. Cost formula: (system prompt tokens + conversation history + retrieved context + user input) × input price/1M + (output tokens) × output price/1M = cost per call. PM levers: prompt compression (summarize conversation history after N turns instead of passing the full transcript — reduces input tokens 40–70%); semantic caching (cache responses for semantically similar queries — 20–40% cache hit rate in production chat products); output length constraints in system prompt ('respond in under 200 words'); model routing (cheap model for simple classification, expensive model only for generation); and streaming to reduce perceived latency while full response generates. Context window tradeoffs: longer context enables more powerful tasks (full-codebase analysis, book-length summarization) but incurs O(n²) attention cost and the 'lost in the middle' degradation effect (retrieval accuracy drops for content in the middle of long contexts). Agentic loop cost is the most dangerous: a misconfigured agent that retries or explores can generate 10–100× expected token usage — always set per-session token budgets and build cost dashboards before launch, not after. From context engineering: selective retrieval (inject only relevant chunks, not whole documents) and state externalization (persist agent memory in databases, not context) are the two highest-ROI techniques for agentic cost reduction."
Designing Agentic Systems,"Agentic system design requires answering four questions before writing a line of code: (1) Action risk tiering — categorize every agent action by reversibility and impact; require human approval for irreversible, externally-visible, or high-cost actions. (2) HITL placement — the spectrum from fully manual to fully autonomous; map each action type to the appropriate tier; EU AI Act mandates HITL for high-risk AI applications. (3) Observability — trace every Thought/Action/Observation step (ReAct pattern); log all tool calls with inputs, outputs, and latency; build dashboards before launch. (4) Cost control — agent loops that explore or retry can generate 10–100× expected token usage; set per-session and per-task token budgets; design explicit stopping conditions; monitor for runaway loops in production. Additional PM considerations from multi-agent architecture: fault tolerance (what happens when a sub-agent fails mid-task?); cost attribution across agent chains; and human-escalation paths when the agent is uncertain. From computer use: any agent that reads external content (emails, web pages, documents) is vulnerable to indirect prompt injection — sandbox execution environments with least-privilege permissions and validate all agent outputs before acting on them."
Data Quality & Governance,"Data quality is consistently the primary cause of AI project failure — yet it's typically scoped as a data engineering problem when it's fundamentally a PM accountability. Failure modes to audit before build begins: (1) Completeness — missing records create model blind spots (e.g., underrepresented customer segments perform poorly); (2) Timeliness — stale training or retrieval data causes concept drift; (3) Bias — training data encoding historical discrimination (past hiring decisions, loan approvals) produces discriminatory outputs; (4) Privacy — PII in training or RAG retrieval data creates GDPR/HIPAA exposure; (5) Siloed data — AI can only reason over data it can access; political and technical barriers to data access are the most common unblocked blockers. RAG-based products shift the governance challenge from training data to retrieval data — chunking strategy, document freshness, and access control in the index are product decisions, not just infrastructure ones. PM responsibilities: define data quality standards before build begins; establish data lineage and audit trails (required for regulatory compliance); apply data minimization principles; build data refresh cadences into the product roadmap. Partnership with data engineering and legal/compliance from day one — not after the model is trained."
Integration & Legacy System Complexity,"Integration complexity is the most consistent source of AI project timeline and budget overruns. Root causes: legacy systems with no APIs (requiring RPA or screen-scraping bridges); authentication and authorization across multiple enterprise identity systems; data format normalization (structured, semi-structured, unstructured, real-time vs. batch); LLM latency requirements conflicting with synchronous enterprise system SLAs; and organizational politics around data access and ownership. PM tools: integration dependency mapping as a precondition for timeline estimation (not an afterthought); 'golden path' integration sequencing — identify the 2–3 integrations that unlock 80% of the use case value and build those first; MCP adoption (Model Context Protocol, Anthropic 2024) dramatically reduces custom integration work by providing a standard protocol for connecting agents to tools and data sources — now supported by all major AI providers; graceful degradation design so the product works (at reduced capability) when integrations are unavailable. Scope signal: if your AI project's engineering estimate is >50% model work, the scope is probably wrong — integration, data pipeline, and testing work typically dominate in production AI. From computer use: any agent with computer-use capability bypasses the API requirement entirely — useful for legacy automation but requires sandboxing and elevated security review."
"Trust, Explainability & Adoption","Trust is the #1 adoption barrier for enterprise AI, and it operates on two distinct levels that require separate PM strategies: (1) User trust — do end users believe the AI's outputs are reliable enough to act on? PM levers: calibrate confidence display (never over-certify uncertain outputs); show sources and citations (RAG grounding is both technically useful and psychologically reassuring); expose reasoning steps (chain-of-thought or 'here's why I said this' surfaces); design feedback mechanisms so users can flag errors and feel heard; and build HITL approval flows at high-stakes decision points. (2) Institutional trust — can the organization defend AI-driven decisions to regulators, auditors, customers, and employees? PM levers: audit trails, explainability APIs (SHAP, LIME), and model cards. Change management is inseparable from adoption: employees who fear AI as a replacement threat do parallel manual work, negating efficiency gains; teams without adequate training can't extract value from AI tools. PM change management playbook: involve end users in discovery and testing before launch; frame AI as augmentation with concrete examples; identify internal champions as peer advocates; measure adoption metrics (active usage, task completion rate, error override rate) separately from technical metrics; and plan for workflow redesign — AI often requires process changes, not just tool adoption, to deliver full value. Calibrating appropriate trust — neither over-reliance nor under-use — is the central UX challenge of AI product design."
"Bias, Fairness & Responsible AI","AI bias occurs when a model produces systematically skewed outputs that disadvantage particular groups, and unlike human bias it scales instantly to every user. Sources: biased training data (historical discrimination encoded as patterns), proxy variables (postal code correlates with race; name correlates with gender; résumé formatting correlates with education level), feedback loops (biased outputs generate biased future training data), and measurement bias (aggregate accuracy metrics that hide subgroup performance failures). PM responsibilities: (1) Pre-launch — define fairness metrics relevant to your use case (demographic parity, equalized odds, calibration) and run disaggregated evaluation across protected groups before launch; (2) Ongoing — monitor subgroup performance drift in production; build user redress mechanisms for AI-driven decisions; conduct periodic bias audits; (3) Documentation — produce model cards; document known limitations; communicate uncertainty to users. High-risk domains: hiring, lending, healthcare, criminal justice, and benefits decisions carry legal exposure under anti-discrimination law (EEOC, ECOA, EU AI Act Art. 5/10) regardless of whether the discrimination was intentional. Responsible AI team partnership is not optional in these domains — it is a prerequisite for launch. The EU AI Act's high-risk AI classification triggers formal conformity assessment requirements, not just best-effort review."
Regulatory & Compliance Risk,"The regulatory landscape for AI is rapidly evolving and jurisdiction-specific. Core frameworks PM leaders must track: EU AI Act (2024, phased enforcement 2025–2027) — risk-tiered system: prohibited practices (social scoring, real-time biometric surveillance), high-risk AI (hiring, credit, healthcare, education — requires conformity assessment, human oversight, transparency obligations, audit logs, and registration), limited-risk (chatbots require disclosure), and minimal-risk. GDPR — purpose limitation, data minimization, right to explanation for solely automated decisions (Art. 22), and data subject rights apply to all EU-person data regardless of company location. HIPAA — applies to any AI handling protected health information; BAA required with AI vendors. FCRA / ECOA — AI credit scoring and adverse action explanations. EEOC guidance — AI-assisted hiring tools face same disparate impact liability as human processes. PM responsibilities: classify your AI system's risk tier as the first step in discovery, not the last; engage legal and compliance as product stakeholders with explicit sign-off gates; design audit log, explainability, and HITL requirements into technical specs before development begins; treat regulatory change as a product roadmap input with quarterly review. Rule of thumb: building compliance into the architecture costs 3–5% of development; retrofitting it costs 3–5× the original build."
Prompt Injection & AI Security,"Prompt injection is the primary emerging security threat for production AI systems, and it scales in severity with agent capability. Two attack types: (1) Direct injection — user directly attempts to override the system prompt ('ignore your previous instructions and...'); mitigated by instruction hierarchy (system prompt > user turn), content moderation, and input filtering. (2) Indirect injection — malicious instructions embedded in external content the agent retrieves or processes (web pages, emails, documents, database records, tool outputs) — the highest-severity vector for agentic systems because the attack surface is everything the agent can read. PM security design requirements: execute agents in sandboxed environments with least-privilege permissions; validate and sanitize all external content before injecting into context; implement output validation before acting on agent decisions (an agent that decides to send an email should verify the recipient and content before calling the send API); require human-in-the-loop approval for irreversible or externally-visible actions; log all agent actions with full trace for incident investigation; conduct adversarial red-team testing specifically targeting indirect injection before any agentic product launch. From system prompt security: treat system prompts as potentially exposed — prompt leakage (users extracting your system prompt via clever questions) is an IP and safety risk; design assuming the system prompt may be revealed. Security review is mandatory, not optional, for any agent that reads external content."
